created_at,from_user,geo_latitude,geo_longitude,geo_type,geotagged,id,iso_language_code,location,profile_image_url,source,text,to_user
"Tue, 26 Jan 2010 06:13:24 +0000","maomusic",,,"",0,8225423087,"en","Mao, Valverde","http://a3.twimg.com/profile_images/264952865/mm_normal.jpg","&lt;a href=&quot;http://apiwiki.twitter.com/&quot; rel=&quot;nofollow&quot;&gt;API&lt;/a&gt;","Dariel ‘The Urban Flow ‘ – Dale May (Prod.By Tainy) http://tinyurl.com/yabc4o3",""
"Tue, 26 Jan 2010 06:09:46 +0000","vaniibaby",,,"",0,8225331908,"en","VaniiLand","http://a3.twimg.com/profile_images/647418287/Photo0440_001__normal.jpeg","&lt;a href=&quot;/devices&quot; rel=&quot;nofollow&quot;&gt;txt&lt;/a&gt;","@exoticeyecandy boo rain rain go away","ExoticEyeCandy"
"Tue, 26 Jan 2010 05:43:34 +0000","DELKYBETTY",,,"",0,8224640677,"es","ÜT: 19.703117,-71.413795","http://a1.twimg.com/profile_images/588768132/IMG00492-20091207-0919_normal.jpg","&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;","Me quede dormida y me estaba sonando leyendo el timeline #queseto",""
"Tue, 26 Jan 2010 05:42:20 +0000","Dahianita_",,,"",0,8224607883,"es","Esperanza, Valverde","http://a3.twimg.com/profile_images/627175815/Angelito_Final_Genius_009_normal.jpg","&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;","RT @Luistl: No quiero a una persona que me haga feliz, sino alguien que quiera ser feliz conmigo.... &gt; Que liiiindooo!!",""
"Tue, 26 Jan 2010 05:41:00 +0000","Dahianita_",,,"",0,8224571495,"es","Esperanza, Valverde","http://a3.twimg.com/profile_images/627175815/Angelito_Final_Genius_009_normal.jpg","&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;","Un beeper alphanumèrico  #notienenada",""
"Tue, 26 Jan 2010 05:40:04 +0000","Dahianita_",,,"",0,8224545649,"fr","Esperanza, Valverde","http://a3.twimg.com/profile_images/627175815/Angelito_Final_Genius_009_normal.jpg","&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;","Un cassette de jossie esteban #notienenada",""
"Tue, 26 Jan 2010 05:38:41 +0000","Dahianita_",,,"",0,8224507858,"es","Esperanza, Valverde","http://a3.twimg.com/profile_images/627175815/Angelito_Final_Genius_009_normal.jpg","&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;","Finalmente en mi cama !!!",""
"Tue, 26 Jan 2010 05:29:43 +0000","HaitiBibleMssn",,,"",0,8224252576,"en","Jeremie, Haiti","http://a3.twimg.com/profile_images/631673895/HBM_Hand-10_normal.jpg","&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;","HBM Team left for Haiti this afternoon. Taking supplies to Jeremie to support refugees leaving Port-au-Prince",""
"Tue, 26 Jan 2010 05:27:52 +0000","JeanBonte",,,"",0,8224201469,"en","Porta au Prince","http://a1.twimg.com/profile_images/655888218/PITIE_POU_TIMOUN_FOTO_202_normal.jpg","&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;","please go to www.mercyforthechildren.org to make your donation for this family run mission..they need your urgent support",""
"Tue, 26 Jan 2010 05:23:50 +0000","joellart",,,"",0,8224088119,"en","A tiny island in the Caribbean","http://a1.twimg.com/profile_images/462359642/twitterProfilePhoto_normal.jpg","&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;","I is outta here!  It's been real!",""
